City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-18.87,97,100,2.43,CA,1708484833
1,peniscola,40.3359,0.3613,12.6,62,26,2.67,ES,1708484834
2,port-aux-francais,-49.35,70.2167,7.86,90,100,16.05,TF,1708484834
3,waitangi,-43.9535,-176.5597,15.46,63,14,2.68,NZ,1708484835
4,al bawiti,28.3492,28.8659,10.89,57,11,2.91,EG,1708484835
5,alice springs,-23.7,133.8833,36.75,20,2,3.09,AU,1708484836
6,ushuaia,-54.8,-68.3,7.81,71,0,2.57,AR,1708484836
7,invercargill,-46.4,168.35,15.57,70,64,4.92,NZ,1708484837
8,enewetak,11.3474,162.3373,26.12,80,100,11.44,MH,1708484837
9,kimbe,-5.5502,150.1429,26.91,89,99,2.26,PG,1708484838
10,nadym,65.5333,72.5167,-10.09,93,100,12.12,RU,1708484839
11,adamstown,-25.066,-130.1015,25.98,84,100,3.68,PN,1708484839
12,brisas de zicatela,15.8369,-97.0419,26.29,78,0,1.54,MX,1708484840
13,staraya stanitsa,48.35,40.2833,-4.98,87,100,2.41,RU,1708484841
14,talnakh,69.4865,88.3972,-16.55,87,100,8.82,RU,1708484842
15,albany,42.6001,-73.9662,-2.93,64,4,0.45,US,1708484554
16,lalganj,25.8667,85.1833,20.97,52,99,2.66,IN,1708484844
17,tindouf,27.6711,-8.1474,16.05,30,0,3.53,DZ,1708484845
18,jamestown,42.097,-79.2353,3.17,75,13,0.89,US,1708484588
19,carrigaline,51.8117,-8.3986,10.86,100,75,10.8,IE,1708484846
20,nishinoomote,30.7333,131.0,21.55,84,100,6.9,JP,1708484847
21,ribeira grande,38.5167,-28.7,17.1,89,100,8.05,PT,1708484848
22,kristiansund,63.1115,7.732,4.36,75,75,4.12,NO,1708484848
23,blackmans bay,-43.0167,147.3167,27.63,53,45,1.79,AU,1708484849
24,bilibino,68.0546,166.4372,-20.1,80,16,3.77,RU,1708484850
25,stanley,54.868,-1.6985,4.84,87,20,2.06,GB,1708484851
26,kapa'a,22.0752,-159.319,24.18,59,0,3.6,US,1708484851
27,margaret river,-33.95,115.0667,21.26,66,94,7.07,AU,1708484852
28,cabo san lucas,22.8909,-109.9124,24.61,46,0,2.57,MX,1708484623
29,iskateley,67.6803,53.1512,-14.99,91,92,4.47,RU,1708484853
30,awjilah,29.1081,21.2869,11.59,54,0,1.98,LY,1708484854
31,vernon,50.2581,-119.2691,6.45,93,100,1.03,CA,1708484596
